Price,Room.Type,City,Bed(s),Property.Form,Avg
439,Private room,sf,1,hotel,280.41
274,Private room,sf,1,hotel,280.41
283,Private room,sf,1,hotel,280.41
304,Private room,sf,1,hotel,280.41
351,Private room,sf,1,hotel,280.41
349,Private room,sf,1,hotel,280.41
280,Private room,sf,1,hotel,280.41
329,Private room,sf,1,hotel,280.41
408,Private room,sf,1,hotel,280.41
329,Private room,sf,1,hotel,280.41
349,Private room,sf,1,hotel,280.41
382,Private room,sf,1,hotel,280.41
449,Private room,sf,1,hotel,280.41
494,Private room,sf,1,hotel,280.41
229,Private room,sf,1,hotel,280.41
389,Private room,sf,1,hotel,280.41
1889,Private room,sf,1,hotel,280.41
409,Private room,sf,1,hotel,280.41
679,Private room,sf,1,hotel,280.41
445,Private room,sf,1,hotel,280.41
505,Private room,sf,1,hotel,280.41
239,Private room,sf,1,hotel,280.41
184,Private room,sf,1,hotel,280.41
205,Private room,sf,1,hotel,280.41
215,Private room,sf,1,hotel,280.41
269,Private room,sf,1,hotel,280.41
220,Private room,sf,1,hotel,280.41
215,Private room,sf,1,hotel,280.41
335,Private room,sf,1,hotel,280.41
207,Private room,sf,1,hotel,280.41
174,Private room,sf,1,hotel,280.41
224,Private room,sf,1,hotel,280.41
480,Private room,sf,1,hotel,280.41
190,Private room,sf,1,hotel,280.41
319,Private room,sf,1,hotel,280.41
170,Private room,sf,1,hotel,280.41
254,Private room,sf,1,hotel,280.41
229,Private room,sf,1,hotel,280.41
209,Private room,sf,1,hotel,280.41
189,Private room,sf,1,hotel,280.41
224,Private room,sf,1,hotel,280.41
179,Private room,sf,1,hotel,280.41
274,Private room,sf,1,hotel,280.41
238,Private room,sf,1,hotel,280.41
197,Private room,sf,1,hotel,280.41
248,Private room,sf,1,hotel,280.41
215,Private room,sf,1,hotel,280.41
206,Private room,sf,1,hotel,280.41
424,Private room,sf,1,hotel,280.41
154,Private room,sf,1,hotel,280.41
122,Private room,sf,1,hotel,280.41
170,Private room,sf,1,hotel,280.41
179,Private room,sf,1,hotel,280.41
239,Private room,sf,1,hotel,280.41
249,Private room,sf,1,hotel,280.41
182,Private room,sf,1,hotel,280.41
343,Private room,sf,1,hotel,280.41
165,Private room,sf,1,hotel,280.41
212,Private room,sf,1,hotel,280.41
307,Private room,sf,1,hotel,280.41
243,Private room,sf,1,hotel,280.41
399,Private room,sf,1,hotel,280.41
220,Private room,sf,1,hotel,280.41
259,Private room,sf,1,hotel,280.41
229,Private room,sf,1,hotel,280.41
195,Private room,sf,1,hotel,280.41
243,Private room,sf,1,hotel,280.41
209,Private room,sf,1,hotel,280.41
229,Private room,sf,1,hotel,280.41
154,Private room,sf,1,hotel,280.41
195,Private room,sf,1,hotel,280.41
410,Private room,sf,1,hotel,280.41
209,Private room,sf,1,hotel,280.41
169,Private room,sf,1,hotel,280.41
650,Private room,sf,1,hotel,280.41
325,Private room,sf,1,hotel,280.41
199,Private room,sf,1,hotel,280.41
205,Private room,sf,1,hotel,280.41
149,Private room,sf,1,hotel,280.41
188,Private room,sf,1,hotel,280.41
169,Private room,sf,1,hotel,280.41
249,Private room,sf,1,hotel,280.41
280,Private room,sf,1,hotel,280.41
182,Private room,sf,1,hotel,280.41
239,Private room,sf,1,hotel,280.41
395,Private room,sf,1,hotel,280.41
249,Private room,sf,1,hotel,280.41
199,Private room,sf,1,hotel,280.41
180,Private room,sf,1,hotel,280.41
263,Private room,sf,1,hotel,280.41
170,Private room,sf,1,hotel,280.41
135,Private room,sf,1,hotel,280.41
159,Private room,sf,1,hotel,280.41
191,Private room,sf,1,hotel,280.41
199,Private room,sf,1,hotel,280.41
197,Private room,sf,1,hotel,280.41
170,Private room,sf,1,hotel,280.41
196,Private room,sf,1,hotel,280.41
394,Private room,sf,1,hotel,280.41
127,Private room,sf,1,hotel,280.41
336,Private room,sf,2,hotel,237.02
454,Private room,sf,2,hotel,237.02
214,Private room,sf,2,hotel,237.02
203,Private room,sf,2,hotel,237.02
149,Private room,sf,2,hotel,237.02
450,Private room,sf,2,hotel,237.02
263,Private room,sf,2,hotel,237.02
530,Private room,sf,2,hotel,237.02
1530,Private room,sf,2,hotel,237.02
302,Private room,sf,2,hotel,237.02
154,Private room,sf,2,hotel,237.02
191,Private room,sf,2,hotel,237.02
305,Private room,sf,2,hotel,237.02
139,Private room,sf,2,hotel,237.02
544,Private room,sf,2,hotel,237.02
189,Private room,sf,2,hotel,237.02
207,Private room,sf,2,hotel,237.02
206,Private room,sf,2,hotel,237.02
167,Private room,sf,2,hotel,237.02
175,Private room,sf,2,hotel,237.02
159,Private room,sf,2,hotel,237.02
166,Private room,sf,2,hotel,237.02
175,Private room,sf,2,hotel,237.02
163,Private room,sf,2,hotel,237.02
176,Private room,sf,2,hotel,237.02
149,Private room,sf,2,hotel,237.02
179,Private room,sf,2,hotel,237.02
232,Private room,sf,2,hotel,237.02
