Accomodates,Bathroom(s),Bedroom(s),Bed(s),Check.In,Check.Out,Property.Type,Room.Type,Cost.Per.Extra.Person,Weekly.Discount(%),Monthly.Discount(%),Cancellation.Policy,Response.Time,ID,Price,e,City,Earliest.Check.In
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,98,752,sf,Flexible
1,1,1,1,Flexible,12PM,Apartment,Entire home/apt,unspecified,0,0,Strict,within an hour,13749110,120,774,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,79,789,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,85,842,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,250,1041,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,225,1419,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,90,1636,sf,Flexible
2,1,1,1,Flexible,11AM,Apartment,Private room,unspecified,11,22,Flexible,within an hour,13559047,450,6,nyc,Flexible
4,1,1,2,Flexible,12PM,Apartment,Entire home/apt,No Charge,0,0,Moderate,within an hour,13357996,90,39,nyc,Flexible
2,1,0,1,Flexible,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Moderate,within an hour,13248038,72,49,nyc,Flexible
2,1,0,1,Flexible,unspecified,Apartment,Entire home/apt,No Charge,10,0,Strict,within an hour,7178827,185,50,nyc,Flexible
2,1,1,1,Flexible,12PM,Apartment,Private room,$20,0,0,Strict,within an hour,7729132,175,55,nyc,Flexible
