Room.Type,City,Bed(s),Property.Form,Price,Avg
Private room,New York City,2,hotel,206,239.77
Private room,New York City,2,hotel,236,239.77
Private room,New York City,2,hotel,390,239.77
Private room,New York City,2,hotel,207,239.77
Private room,New York City,2,hotel,201,239.77
Private room,New York City,2,hotel,219,239.77
Private room,New York City,2,hotel,172,239.77
Private room,New York City,2,hotel,189,239.77
Private room,New York City,2,hotel,203,239.77
Private room,New York City,2,hotel,279,239.77
Private room,New York City,2,hotel,199,239.77
Private room,New York City,2,hotel,179,239.77
Private room,New York City,2,hotel,244,239.77
Private room,New York City,2,hotel,175,239.77
Private room,New York City,2,hotel,269,239.77
Private room,New York City,2,hotel,211,239.77
Private room,New York City,2,hotel,284,239.77
Private room,New York City,2,hotel,375,239.77
Private room,New York City,2,hotel,365,239.77
Private room,New York City,2,hotel,216,239.77
Private room,New York City,2,hotel,251,239.77
Private room,New York City,2,hotel,259,239.77
Private room,New York City,2,hotel,347,239.77
Private room,New York City,2,hotel,138,239.77
Private room,New York City,2,hotel,273,239.77
Private room,New York City,2,hotel,284,239.77
Private room,New York City,2,hotel,195,239.77
Private room,New York City,2,hotel,219,239.77
Private room,New York City,2,hotel,299,239.77
Private room,New York City,2,hotel,304,239.77
Private room,New York City,2,hotel,385,239.77
Private room,New York City,2,hotel,350,239.77
Private room,New York City,2,hotel,305,239.77
Private room,New York City,2,hotel,795,239.77
Private room,New York City,2,hotel,230,239.77
Private room,New York City,2,hotel,269,239.77
Private room,New York City,2,hotel,269,239.77
Private room,New York City,2,hotel,279,239.77
Private room,New York City,2,hotel,214,239.77
Private room,New York City,2,hotel,409,239.77
Private room,New York City,2,hotel,322,239.77
Private room,New York City,2,hotel,179,239.77
Private room,New York City,2,hotel,144,239.77
Private room,New York City,2,hotel,110,239.77
Private room,New York City,2,hotel,159,239.77
Private room,New York City,2,hotel,170,239.77
Private room,New York City,2,hotel,143,239.77
Private room,New York City,2,hotel,172,239.77
Private room,New York City,2,hotel,175,239.77
Private room,New York City,2,hotel,244,239.77
Private room,New York City,2,hotel,203,239.77
Private room,New York City,2,hotel,125,239.77
Private room,New York City,2,hotel,179,239.77
Private room,New York City,2,hotel,225,239.77
Private room,New York City,2,hotel,192,239.77
Private room,New York City,2,hotel,278,239.77
Private room,New York City,2,hotel,125,239.77
Private room,New York City,2,hotel,155,239.77
Private room,New York City,2,hotel,143,239.77
Private room,New York City,2,hotel,152,239.77
Private room,New York City,2,hotel,233,239.77
Private room,New York City,2,hotel,159,239.77
Private room,New York City,2,hotel,208,239.77
Private room,New York City,2,hotel,143,239.77
Private room,New York City,2,hotel,122,239.77
Private room,New York City,2,hotel,216,239.77
Private room,San Francisco,1,hotel,439,280.41
Private room,San Francisco,1,hotel,274,280.41
Private room,San Francisco,1,hotel,283,280.41
Private room,San Francisco,1,hotel,304,280.41
Private room,San Francisco,1,hotel,351,280.41
Private room,San Francisco,1,hotel,349,280.41
Private room,San Francisco,1,hotel,280,280.41
Private room,San Francisco,1,hotel,329,280.41
Private room,San Francisco,1,hotel,408,280.41
Private room,San Francisco,1,hotel,329,280.41
Private room,San Francisco,1,hotel,349,280.41
Private room,San Francisco,1,hotel,382,280.41
Private room,San Francisco,1,hotel,449,280.41
Private room,San Francisco,1,hotel,494,280.41
Private room,San Francisco,1,hotel,229,280.41
Private room,San Francisco,1,hotel,389,280.41
Private room,San Francisco,1,hotel,1889,280.41
Private room,San Francisco,1,hotel,409,280.41
Private room,San Francisco,1,hotel,679,280.41
Private room,San Francisco,1,hotel,445,280.41
Private room,San Francisco,1,hotel,505,280.41
Private room,San Francisco,1,hotel,239,280.41
Private room,San Francisco,1,hotel,184,280.41
Private room,San Francisco,1,hotel,205,280.41
Private room,San Francisco,1,hotel,215,280.41
Private room,San Francisco,1,hotel,269,280.41
Private room,San Francisco,1,hotel,220,280.41
Private room,San Francisco,1,hotel,215,280.41
Private room,San Francisco,1,hotel,335,280.41
Private room,San Francisco,1,hotel,207,280.41
Private room,San Francisco,1,hotel,174,280.41
Private room,San Francisco,1,hotel,224,280.41
Private room,San Francisco,1,hotel,480,280.41
Private room,San Francisco,1,hotel,190,280.41
Private room,San Francisco,1,hotel,319,280.41
Private room,San Francisco,1,hotel,170,280.41
